"","yearID","HR"
"1",1871,47
"2",1872,35
"3",1873,46
"4",1874,40
"5",1875,40
"6",1876,40
"7",1877,24
"8",1878,23
"9",1879,58
"10",1880,62
"11",1881,76
"12",1882,178
"13",1883,238
"14",1884,690
"15",1885,323
"16",1886,413
"17",1887,606
"18",1888,521
"19",1889,667
"20",1890,760
"21",1891,586
"22",1892,417
"23",1893,460
"24",1894,627
"25",1895,484
"26",1896,404
"27",1897,367
"28",1898,299
"29",1899,350
"30",1900,254
"31",1901,455
"32",1902,356
"33",1903,335
"34",1904,331
"35",1905,338
"36",1906,261
"37",1907,244
"38",1908,267
"39",1909,259
"40",1910,361
"41",1911,514
"42",1912,442
"43",1913,470
"44",1914,710
"45",1915,635
"46",1916,383
"47",1917,335
"48",1918,235
"49",1919,447
"50",1920,630
"51",1921,937
"52",1922,1055
"53",1923,980
"54",1924,896
"55",1925,1169
"56",1926,863
"57",1927,922
"58",1928,1093
"59",1929,1349
"60",1930,1565
"61",1931,1069
"62",1932,1358
"63",1933,1067
"64",1934,1344
"65",1935,1325
"66",1936,1364
"67",1937,1430
"68",1938,1475
"69",1939,1445
"70",1940,1571
"71",1941,1331
"72",1942,1071
"73",1943,905
"74",1944,1034
"75",1945,1007
"76",1946,1215
"77",1947,1565
"78",1948,1555
"79",1949,1704
"80",1950,2073
"81",1951,1863
"82",1952,1701
"83",1953,2076
"84",1954,1937
"85",1955,2224
"86",1956,2294
"87",1957,2202
"88",1958,2240
"89",1959,2250
"90",1960,2128
"91",1961,2730
"92",1962,3001
"93",1963,2704
"94",1964,2762
"95",1965,2688
"96",1966,2743
"97",1967,2299
"98",1968,1995
"99",1969,3119
"100",1970,3429
"101",1971,2863
"102",1972,2534
"103",1973,3102
"104",1974,2649
"105",1975,2698
"106",1976,2235
"107",1977,3644
"108",1978,2956
"109",1979,3433
"110",1980,3087
"111",1981,1781
"112",1982,3379
"113",1983,3301
"114",1984,3258
"115",1985,3602
"116",1986,3813
"117",1987,4458
"118",1988,3180
"119",1989,3083
"120",1990,3317
"121",1991,3383
"122",1992,3038
"123",1993,4030
"124",1994,3306
"125",1995,4081
"126",1996,4962
"127",1997,4640
"128",1998,5064
"129",1999,5528
"130",2000,5693
"131",2001,5458
"132",2002,5059
"133",2003,5207
"134",2004,5451
"135",2005,5017
"136",2006,5386
"137",2007,4957
"138",2008,4878
"139",2009,5042
"140",2010,4613
"141",2011,4552
"142",2012,4934
